rubro,categoria_id,clae2,categoria_desc,clae2_desc,lista_de_productos
ACONDICIONAMIENTO Y EMPAQUE,2,52,Elaboradores,Almacenamiento y actividades de apoyo al transporte,
ACOPIO,2,52,Elaboradores,Almacenamiento y actividades de apoyo al transporte,
ACOPIO Y ACONDICIONAMIENTO DE GRANOS,2,52,Elaboradores,Almacenamiento y actividades de apoyo al transporte,
ACUICULTURA,1,1,Productores,"Agricultura, ganadería, caza y servicios relacionados",
AGICULTURA/FRUTICULTURA,1,1,Productores,"Agricultura, ganadería, caza y servicios relacionados",
AGICULTURA/HORTICULTURA,1,1,Productores,"Agricultura, ganadería, caza y servicios relacionados",
AGRICULTURA,1,1,Productores,"Agricultura, ganadería, caza y servicios relacionados",
AGRICULTURA/GANADERIA,1,1,Productores,"Agricultura, ganadería, caza y servicios relacionados",
ALIMENTACION ANIMAL,2,10,Elaboradores,Elaboración de productos alimenticios,
ALMACENAMIENTO,2,52,Elaboradores,Almacenamiento y actividades de apoyo al transporte,
ALMACENAMIENTO Y FRIO PARA FRUTAS NO CITRICAS,2,52,Elaboradores,Almacenamiento y actividades de apoyo al transporte,
APICULTURA,1,1,Productores,"Agricultura, ganadería, caza y servicios relacionados",
BODEGA VITIVINICOLA,2,11,Elaboradores,Elaboración de bebidas,
"BODEGA VITIVINICOLA Y ELABORACION DE  VINAGRE, MERMELADAS, HUMUS DE LOMBRIZ",2,11,Elaboradores,Elaboración de bebidas,
BODEGA VITIVINICOLA. ELABORACION DE MOSTO CONCENTRADO DE UVAS ,2,11,Elaboradores,Elaboración de bebidas,
DEPOSITO DE YERBA,2,52,Elaboradores,Almacenamiento y actividades de apoyo al transporte,
ELABORACION,2,10,Elaboradores,Elaboración de productos alimenticios,"ACEITE DE SOJA, ACEITE DE GIRASOL Y ACEITES DE COLZA, HARINA DE SOJA,  EXPELLER DE GIRASOL Y EXPELLER DE CANOLA ; AROMAS DE  MANZANA, AROMAS DE PERA, JUGO CONCENTRADO DE MANZANA, JUGO CONCENTRADO DE PERA"
ELABORACION ,2,10,Elaboradores,Elaboración de productos alimenticios,ACEITE DE GIRASOL ALTO OLEICO
"ELABORACION , FRACCIONAMIENTO Y DEPOSITO DE HIERBAS AROMATICAS Y MEDICINALES",2,10,Elaboradores,Elaboración de productos alimenticios,
ELABORACION DE  JUGOS CONCENTRADOS Y FABRICA DE ACEITES ESENCIALES,2,11,Elaboradores,Elaboración de bebidas,
ELABORACION DE ACEITE DE ROSA MOSQUETA,2,32,Elaboradores,Otras industrias manufactureras,
ELABORACION DE DULCES,2,10,Elaboradores,Elaboración de productos alimenticios,
ELABORACION DE DULCES Y FRUTAS EN ALMIBAR,2,10,Elaboradores,Elaboración de productos alimenticios,
ELABORACION DE JUGO CONCENTRADO,2,11,Elaboradores,Elaboración de bebidas,
ELABORACION DE JUGO CONCENTRADO DE MANZANA Y PERA ,2,11,Elaboradores,Elaboración de bebidas,
"ELABORACION DE JUGOS CONCENTRADOS, ACEITE ESCENCIAL Y PULPA DE CITRICOS",2,11,Elaboradores,Elaboración de bebidas,
ELABORACION DE JUGOS Y BODEGA VITIVINICOLA,2,11,Elaboradores,Elaboración de bebidas,
ELABORACION DE MANZANA Y PERA DEHIDRATADA,2,10,Elaboradores,Elaboración de productos alimenticios,
ELABORACION DE MOSTO CONCENTRADO,2,11,Elaboradores,Elaboración de bebidas,
ELABORACION DE MOSTO CONCENTRADO DE UVA,2,11,Elaboradores,Elaboración de bebidas,
ELABORACION DE PASAS DE UVA,2,10,Elaboradores,Elaboración de productos alimenticios,
ELABORACION GRANOS,2,10,Elaboradores,Elaboración de productos alimenticios,
ELABORACION Y ENVASADO,2,10,Elaboradores,Elaboración de productos alimenticios,MEJILLON
ELABORACION Y EXTRACCION DE ACEITE,2,10,Elaboradores,Elaboración de productos alimenticios,
"ELABORACION, FRACCIONAMIENTO Y EMPAQUE",2,10,Elaboradores,Elaboración de productos alimenticios,"ARROZ, TRIGO, HORTALIZAS, SOJA, SALSA DE SOJA, PASTA DE SOJA, QUESO DE SOJA"
"ELABORACION, FRACCIONAMIENTO, ALMACENAMIENTO, CONGELADO",2,10,Elaboradores,Elaboración de productos alimenticios,"SMOOTHIES, JUGOS Y DULCES, AROMATICAS, AZUCAR, FRUTAS, PULPAS Y PASAS ; HORTALIZAS DE HOJA, RAIZ Y FRUTO, CONGELADO DE FRUTILLAS"
ELABORACION; FRACCIONAMIENTO; EMPAQUE; ACOPIO,2,10,Elaboradores,Elaboración de productos alimenticios,"VINO, UVAS, ACEITUNAS"
EMPAQUE DE FRUTAS NO CITRICAS,2,10,Elaboradores,Elaboración de productos alimenticios,
EMPAQUE DE HORTALIZAS,2,10,Elaboradores,Elaboración de productos alimenticios,
EMPAQUE DE HORTALIZAS Y FRUTAS NO CITRICAS,2,10,Elaboradores,Elaboración de productos alimenticios,
EMPAQUE DE PRODUCTOS DE LIMON,2,10,Elaboradores,Elaboración de productos alimenticios,
EMPAQUE FRUTAS NO CITRICAS,2,10,Elaboradores,Elaboración de productos alimenticios,
EMPAQUE PARA FRUTA NO CITRICA,2,10,Elaboradores,Elaboración de productos alimenticios,
EMPAQUE Y FRIGORIFICO DE FRUTAS NO CITRICAS,2,10,Elaboradores,Elaboración de productos alimenticios,
EMPAQUE Y FRIGORIFICO FRUTAS NO CITRICAS,2,10,Elaboradores,Elaboración de productos alimenticios,
EMPAQUE Y FRIO,2,52,Elaboradores,Almacenamiento y actividades de apoyo al transporte,
EXTRACCION DE ACEITE,2,10,Elaboradores,Elaboración de productos alimenticios,
